Acao_Link;Lucro_Liquido;Margem_Liquida;ROE;Div_por_PL;P_por_L;P_por_VPA;DY;Payout;Margem_Seguranca;Nome_acao
http://bastter.com/mercado/acao/GGBR3.aspx;158700%;3.78%;4.78%;0.56;9.10;0.43;2.97%;27.08%;26%;GGBR3
http://bastter.com/mercado/acao/GGBR4.aspx;158700%;3.78%;4.78%;0.56;10.86;0.51;2.49%;27.08%;5%;GGBR4
http://bastter.com/mercado/acao/GOAU3.aspx;141200%;3.36%;4.52%;0.63;2.67;0.12;3.28%;8.76%;330%;GOAU3
http://bastter.com/mercado/acao/GOAU4.aspx;141200%;3.36%;4.52%;0.63;3.44;0.15;2.54%;8.76%;233%;GOAU4
http://bastter.com/mercado/acao/KLBN3.aspx;87900%;18.04%;12.06%;1.14;17.64;2.12;1.52%;26.90%;-34%;KLBN3
http://bastter.com/mercado/acao/KLBN4.aspx;87900%;18.04%;12.06%;1.14;14.52;1.75;1.85%;26.90%;-20%;KLBN4
http://bastter.com/mercado/acao/KLBN11.aspx;87900%;18.04%;12.06%;1.14;0.00;0.00;2.46%;182.94%;0%;KLBN11
http://bastter.com/mercado/acao/BRKM3.aspx;76400%;1.67%;10.17%;2.54;13.64;1.38;4.58%;62.61%;-15%;BRKM3
http://bastter.com/mercado/acao/BRKM5.aspx;76400%;1.67%;10.17%;2.54;19.53;1.98;3.20%;62.61%;-41%;BRKM5
http://bastter.com/mercado/acao/BRKM6.aspx;76400%;1.67%;10.17%;2.54;10.59;1.07;5.91%;62.61%;8%;BRKM6
http://bastter.com/mercado/acao/DTEX3.aspx;37300%;9.44%;8.11%;0.58;14.04;1.13;4.06%;57.09%;-18%;DTEX3
http://bastter.com/mercado/acao/USIM3.aspx;37300%;3.01%;1.96%;0.36;20.52;0.40;0.00%;0.00%;-43%;USIM3
http://bastter.com/mercado/acao/USIM5.aspx;37300%;3.01%;1.96%;0.36;13.67;0.26;0.00%;0.00%;-15%;USIM5
http://bastter.com/mercado/acao/USIM6.aspx;37300%;3.01%;1.96%;0.36;18.21;0.35;0.00%;0.00%;-36%;USIM6
http://bastter.com/mercado/acao/CNFB3.aspx;26900%;16.68%;17.33%;0.47;8.91;1.54;0.00%;0.00%;29%;CNFB3
http://bastter.com/mercado/acao/CNFB4.aspx;26900%;16.68%;17.33%;0.47;9.04;1.56;0.00%;0.00%;27%;CNFB4
http://bastter.com/mercado/acao/FIBR3.aspx;10500%;1.49%;0.71%;0.58;161.11;1.14;0.00%;0.00%;-92%;FIBR3
http://bastter.com/mercado/acao/FESA3.aspx;10200%;11.87%;7.99%;0.01;15.75;1.25;1.70%;26.84%;-27%;FESA3
